race_no,lane,affiliation,category
1,1,E.R.C.C,D
1,2,愛知東郷ボートクラブ,D
1,3,ボート団塊号 (だんかいごう),E
1,4,RC神戸,F
1,5,瀬田漕艇クラブ,F
1,6,浜寺マスターズクラブ,F
2,2,淡青会マスターズ,G
2,3,浜寺マスターズクラブ,G
2,4,三菱ボートクラブシニア,G
2,5,ボート団塊号 (だんかいごう),G
3,2,でん助・でん子,E
3,3,浜寺マスターズクラブ,E
3,4,鶴見川マスターズローイングクラブ,E
3,5,富士山ローイングクラブ,E
4,2,勘八峡・昇龍ローイングクラブ,E
4,3,小野湖ローイングクラブ,E
4,4,レジェンド島根,E
4,5,四神会,E
5,1,多摩川ローイングを楽しむ会,G
5,2,瀬田漕艇クラブ,G
5,3,浜寺マスターズクラブ,G
5,4,鵬RC,G
5,5,碧水会,G
5,6,瀬田漕艇クラブ,G
6,2,鶴見川マスターズローイングクラブ,J
6,3,諏訪マスターズ,J
6,4,四神会,K
6,5,浜寺マスターズクラブ,K
7,1,WKマスターズ,H
7,2,魚崎ローイングクラブ,H
7,3,四神会,H
7,4,瀬田漕艇クラブ,H
7,5,米子漕艇クラブ,H
8,1,日本製鉄株式会社八幡ボート部,H
8,2,濃青会鶴見川,H
8,3,パルテ会,H
8,4,パルテ会,H
8,5,新貞山ローイングクラブ,H
9,1,幾星霜,A
9,2,旭丘漕友会,A
9,3,ちばるたん,A
9,4,横浜漕艇倶楽部埼玉,B
9,5,E.R.C.C,B
10,1,浜寺マスターズクラブ,F
10,2,キラーホエール,F
10,3,瀬田漕艇クラブ,G
10,4,瀬田漕艇クラブ,G
10,5,瀬田漕艇クラブ,H
11,2,稲門艇友会,F
11,3,茨水会,F
11,4,新貞山ローイングクラブ,F
11,5,大阪公立大学紅臙会,F
12,1,魚崎ローイングクラブ,F
12,2,淡青会マスターズ,F
12,3,ワイルドローバーローイングクラブ,F
12,4,WITH,F
12,5,ボート団塊号 (だんかいごう),F
13,2,瀬田漕艇クラブ,E
13,3,魚崎ローイングクラブ,E
13,4,瀬田漕艇クラブ,E
14,1,淡青会マスターズ,J
14,2,浜寺マスターズクラブ,J
14,3,四神会,J
14,4,濃青会鶴見川,J
14,5,WKマスターズ,K
14,6,四神会,L
15,3,太田川ボートクラブ,C
16,1,瀬田漕艇クラブ,E
16,2,多摩川ローイングを楽しむ会,E
16,3,RC神戸,E
16,4,鶴見川マスターズローイングクラブ,F
16,5,三菱ボートクラブシニア,G
17,1,浜寺マスターズクラブ,I
17,2,ボート団塊号 (だんかいごう),I
17,3,名古屋大学艇友会DE,I
17,4,PENTA,I
17,5,ボート団塊号 (だんかいごう),I
18,2,佐鳴漕友会(静岡大学),G
18,3,パルテ会,G
18,4,ボート団塊号 (だんかいごう),G
18,5,稲門艇友会,G
19,2,日本製鉄株式会社八幡ボート部,D
19,3,魚崎ローイングクラブ,D
19,4,富士山ローイングクラブ,D
19,5,御殿浜ローイングクラブ,D
20,1,四神会,G
20,2,魚崎ローイングクラブ,G
20,3,魚崎ローイングクラブ,G
20,4,医王会ローイングクラブ,G
20,5,小野湖ローイングクラブ,G
20,6,櫂朋会,G
21,2,愛知東郷ボートクラブ,B
21,3,浜寺マスターズクラブ,C
21,4,パルテ会,C
21,5,キラーホエール,C
22,2,鵬RC,G
22,3,PENTA,G
22,4,学習院桜艇会,G
22,5,パルテ会,G
23,1,太田川ボートクラブ,E
23,2,三菱重工高砂,E
23,3,白山工業ローイングクラブ,E
23,4,魚崎ローイングクラブ,E
23,5,魚崎ローイングクラブ,E
24,3,インテック,D
24,4,E.R.C.C,D
25,2,多摩川ローイングを楽しむ会,F
25,3,松江ローイングクラブ,F
25,4,加賀梨RC,F
25,5,パルテ会,F
26,2,ボート団塊号 (だんかいごう),E
26,3,四神会,E
26,4,九州照葉ローイングクラブ,E
27,2,名古屋ローイングクラブ,H
27,3,ボート団塊号 (だんかいごう),H
27,4,ボート団塊号 (だんかいごう),H
28,2,瀬田漕艇クラブ,G
28,3,四神会,G
28,4,関東名島会,G
28,5,新貞山ローイングクラブ,G
29,1,新潟大学漕艇部 緑悠会,C
29,2,九州照葉ローイングクラブ,C
29,3,でん助・でん子,D
29,4,レガッタクラブフレンドシップ RCF,E
29,5,パルテ会,E
30,1,魚崎ローイングクラブ,J
30,2,岡井・柴原,J
30,3,小野湖ローイングクラブ,K
30,4,諏訪マスターズ,K
30,5,四神会,L
30,6,四神会,M
31,3,ちばるたん,A
31,4,ミネベアミツミ,B
32,1,医王会ローイングクラブ,A
32,2,ばらとDRCマスターズ,B
32,3,パルテ会,B
32,4,多摩川ローイングを楽しむ会,C
32,5,浜寺マスターズクラブ,C
32,6,キラーホエール,C
33,2,キラーホエール,F
33,3,レジェンド島根,F
33,4,茨水会,F
33,5,駿河・伊豆ローイングクラブ,F
34,1,新潟大学漕艇部 緑悠会,A
34,2,愛知東郷ボートクラブ,A
34,3,日本製鉄,A
34,4,ばらとDRCマスターズ,A
34,5,橙紺会659,A
34,6,湖猿ローイングチーム,A
35,2,新潟大学漕艇部 緑悠会,C
35,3,浜寺マスターズクラブ,C
35,4,愛知東郷ボートクラブ,C
35,5,前川ローイングクラブ,C
36,1,愛知東郷ボートクラブ,G
36,2,駿台艇友会,G
36,3,RC神戸,G
36,4,WKマスターズ,G
36,5,パルテ会,G
37,1,ばらとDRCマスターズ,G
37,2,三菱ボートクラブシニア,G
37,3,櫂朋会,G
37,4,大阪公立大学紅臙会,G
37,5,ボート団塊号 (だんかいごう),G
38,2,矢切ローイングクラブ,G
38,3,PENTA,G
38,4,ワイルドローバーローイングクラブ,G
38,5,四神会,G
39,2,魚崎ローイングクラブ,F
39,3,魚崎ローイングクラブ,F
39,4,浜寺マスターズクラブ,F
39,5,魚崎ローイングクラブ,F
40,1,瀬田漕艇クラブ,J
40,2,小野湖ローイングクラブ,K
40,3,WKマスターズ,K
40,4,四神会,K
40,5,三菱ボートクラブシニア,L
40,6,三菱ボートクラブシニア,N
41,2,三菱ボートクラブシニア,G
41,3,瀬田漕艇クラブ,G
41,4,三菱ボートクラブシニア,H
42,2,濃青会鶴見川,H
42,3,瀬田漕艇クラブ,H
42,4,WKマスターズ,H
43,1,四神会,H
43,2,多摩川ローイングを楽しむ会,H
43,3,碧水会,H
43,4,名古屋大学艇友会DE,H
43,5,ボート団塊号 (だんかいごう),H
44,2,医王会ローイングクラブ,D
44,3,九州照葉ローイングクラブ,D
44,4,瀬田漕艇クラブ,D
45,2,三菱ボートクラブシニア,I
45,3,魚崎ローイングクラブ,I
45,4,瀬田漕艇クラブ,J
45,5,瀬田漕艇クラブ,K
46,2,小野湖ローイングクラブ,F
46,3,ボート団塊号 (だんかいごう),F
46,4,RC神戸,F
46,5,浜寺マスターズクラブ,F
47,2,三菱ボートクラブシニア,F
47,3,瀬田漕艇クラブ,F
47,4,ばらとDRCマスターズ,F
47,5,パルテ会,F
48,2,四神会,A
48,3,RC神戸,D
48,4,多摩川ローイングを楽しむ会,D
49,2,浜松ボートクラブ佐鳴会,D
49,3,医王会ローイングクラブ,D
49,4,メンテックRC,D
49,5,蔵前漕艇クラブH7,D
50,1,名古屋ローイングクラブ,H
50,2,濃青会鶴見川,H
50,3,名古屋大学艇友会関西,H
50,4,大阪工業大学重吹会,H
50,5,楠漕会,H
51,2,中川運河ローイングクラブ,D
51,3,黄門ローイングクラブ,D
51,4,中川運河ローイングクラブ,D
51,5,香川RC,D
52,1,愛知東郷ボートクラブ,E
52,2,魚崎ローイングクラブ,E
52,3,瀬田漕艇クラブ,E
52,4,関東楠漕会,E
52,5,中川運河ローイングクラブ,E
53,1,パルテ会,A
53,2,医王会ローイングクラブ,A
53,3,ばらとDRCマスターズ,B
53,4,魚崎ローイングクラブ,C
53,5,唐津ボートクラブ,C
54,2,矢切ローイングクラブ,F
54,3,WITH,F
54,4,瀬田漕艇クラブ,F
54,5,PENTA,F
55,2,新潟大学漕艇部 緑悠会,C
55,3,キラーホエール,C
55,4,中電漕友会,C
55,5,E.R.C.C,C
56,1,ボート団塊号 (だんかいごう),I
56,2,ボート団塊号 (だんかいごう),I
56,3,日本ボートマンクラブ,I
56,4,WKマスターズ,I
56,5,ボート団塊号 (だんかいごう),I
57,1,瀬田漕艇クラブ,H
57,2,ヤマハ発動機,H
57,3,小野湖ローイングクラブ,H
57,4,ワイルドローバーローイングクラブ,H
57,5,パルテ会,H
58,1,浜寺マスターズクラブ,G
58,2,名古屋ローイングクラブ,G
58,3,三菱ボートクラブシニア,G
58,4,多摩川ローイングを楽しむ会,G
58,5,浜寺マスターズクラブ,G
59,3,東京漕艇倶楽部,C
59,4,パルテ会,C
60,1,パルテ会,G
60,2,碧水会,G
60,3,諏訪マスターズ,G
60,4,淡青会マスターズ,G
60,5,ボート団塊号 (だんかいごう),G
60,6,ボート団塊号 (だんかいごう),G
61,2,E.R.C.C,D
61,3,九州照葉ローイングクラブ,D
61,4,魚崎ローイングクラブ,D
62,1,瀬田漕艇クラブ,G
62,2,瀬田漕艇クラブ,G
62,3,瀬田漕艇クラブ,G
62,4,瀬田漕艇クラブ,H
62,5,瀬田漕艇クラブ,J
63,1,医王会ローイングクラブ,A
63,2,ちばるたん,A
63,3,黄門ローイングクラブ,B
63,4,新潟大学漕艇部 緑悠会,B
63,5,E.R.C.C,B
64,2,濃青会鶴見川,I
64,3,ボート団塊号 (だんかいごう),I
64,4,ボート団塊号 (だんかいごう),I
64,5,名古屋大学艇友会DE,I
65,1,鶴見川マスターズローイングクラブ,I
65,2,浜寺マスターズクラブ,I
65,3,魚崎ローイングクラブ,I
65,4,ボート団塊号 (だんかいごう),I
65,5,SUWAKO,I
66,2,恵那ローイング協会,F
66,3,愛知東郷ボートクラブ,F
66,4,E.R.C.C,F
66,5,佐鳴漕友会(静岡大学),F
67,2,PENTA,F
67,3,魚崎ローイングクラブ,F
67,4,パルテ会,F
67,5,WKマスターズ,F
68,2,瀬田漕艇クラブ,B
68,3,新潟大学漕艇部 緑悠会,B
68,4,日本製鉄,B
68,5,日本製鉄,B
69,1,ちばるたん,A
69,2,新潟大学漕艇部 緑悠会,A
69,3,日本製鉄,B
69,4,黄門ローイングクラブ,B
69,5,E.R.C.C,B
70,1,ちばるたん,A
70,2,小野湖ローイングクラブ,A
70,3,多摩川ローイングを楽しむ会,B
70,4,唐津ボートクラブ,C
70,5,魚崎ローイングクラブ,D
70,6,多摩川ローイングを楽しむ会,E
71,1,三菱ボートクラブシニア,H
71,2,神戸のJIIJII,H
71,3,浜寺マスターズクラブ,H
71,4,魚崎ローイングクラブ,H
71,5,医王会四神会連合,H
72,1,香川RC,D
72,2,レガッタクラブフレンドシップ RCF,D
72,3,パルテ会,D
72,4,魚崎ローイングクラブ,D
72,5,E.R.C.C,D
73,2,PENTA,F
73,3,E.R.C.C,F
73,4,会津楽水会,F
73,5,浜寺マスターズクラブ,F
74,2,PENTA,F
74,3,パルテ会,F
74,4,阪神連合,F
75,2,医王会ローイングクラブ,A
75,3,愛知東郷ボートクラブ,A
75,4,浜寺マスターズクラブ,B
75,5,多摩川ローイングを楽しむ会,B
76,2,浜寺マスターズクラブ,C
76,3,魚崎ローイングクラブ,C
76,4,宮崎大学医学部漕艇部OB会,C
76,5,瀬田漕艇クラブ,C
77,2,黄門ローイングクラブ,D
77,3,キラーホエール,D
77,4,愛知東郷ボートクラブ,D
77,5,唐津ボートクラブ,D
78,2,瀬田漕艇クラブ,G
78,3,諏訪マスターズ,G
78,4,瀬田漕艇クラブ,G
78,5,神戸のJIIJII、BAABAA,G
79,2,PENTA,H
79,3,三菱ボートクラブシニア,H
79,4,浜寺マスターズクラブ,I
80,2,RC神戸,E
80,3,Nittai Boat Club,E
80,4,多摩川ローイングを楽しむ会,E
80,5,パルテ会,E
81,2,ちばるたん,A
81,3,小野湖ローイングクラブ,A
81,4,ちばるたん,A
81,5,ばらとDRCマスターズ,A
82,1,四神会,A
82,2,漕門会,A
82,3,医王会ローイングクラブ,A
82,4,E.R.C.C,C
82,5,鶴見川マスターズローイングクラブ,C
83,1,瀬田漕艇クラブ,G
83,2,TVBC,G
83,3,三菱ボートクラブシニア,H
83,4,ばらとDRCマスターズ,H
83,5,鶴見川マスターズローイングクラブ,J
84,2,浜寺マスターズクラブ,C
84,3,パルテ会,C
84,4,パルテ会,C
84,5,ボート団塊号 (だんかいごう),C
85,1,RC神戸,D
85,2,W服部,E
85,3,瀬田漕艇クラブ,E
85,4,矢切ローイングクラブ,E
85,5,堤・太田,E
86,3,TKAM,F
86,4,浜寺マスターズクラブ,F
87,2,パルテ会,C
87,3,魚崎ローイングクラブ,C
87,4,浜寺マスターズクラブ,C
88,1,瀬田漕艇クラブ,H
88,2,瀬田漕艇クラブ,H
88,3,瀬田漕艇クラブ,H
88,4,本間・岡井,I
88,5,瀬田漕艇クラブ,I
88,6,三菱ボートクラブシニア,L
89,1,でん助・でん子,D
89,2,NEXUS ROWING CLUB,D
89,3,パルテ会,D
89,4,愛知東郷ボートクラブ,D
89,5,キラーホエール,D
90,2,インテック,E
90,3,鶴見川マスターズローイングクラブ,F
90,4,RC神戸,F
90,5,WITH,F
91,1,うのけボート部,C
91,2,医王会ローイングクラブ,C
91,3,キラーホエール,C
91,4,キャプテンブッケボートクラブ,C
91,5,九州照葉ローイングクラブ,C
92,2,湖猿ローイングチーム,A
92,3,湖猿ローイングチーム,A
92,4,新潟大学漕艇部 緑悠会,A
92,5,ちばるたん,A
93,2,E.R.C.C,B
93,3,浜松ボートクラブ佐鳴会,B
93,4,黄門ローイングクラブ,B
93,5,宮崎大学医学部漕艇部OB会,B
94,1,うのけボート部,D
94,2,香川RC,D
94,3,新潟大学漕艇部 緑悠会,D
94,4,勘八峡・昇龍ローイングクラブ,D
94,5,NEXUS ROWING CLUB,D
95,2,E.R.C.C,E
95,3,RC神戸,E
95,4,でん助・でん子,E
95,5,浜寺マスターズクラブ,E
96,2,CPRC,H
96,3,PENTA,H
96,4,瀬田漕艇クラブ,I
96,5,鶴見川マスターズローイングクラブ,K
97,2,RC神戸,F
97,3,RC神戸,F
97,4,ヤバセJ1,F
97,5,茨水会,F
98,1,黄門ローイングクラブ,D
98,2,パルテ会,D
98,3,多摩川ローイングを楽しむ会,D
98,4,キラーホエール,D
98,5,鶴見川マスターズローイングクラブ,D
98,6,NEXUS ROWING CLUB,D
99,2,多摩川ローイングを楽しむ会,G
99,3,浜寺マスターズクラブ,G
99,4,レガッタクラブフレンドシップ RCF,G
99,5,鶴見川マスターズローイングクラブ,G
100,2,RC神戸,G
100,3,RC神戸,G
100,4,瀬田漕艇クラブ,G
101,1,E.R.C.C,C
101,2,愛知東郷ボートクラブ,C
101,3,レジェンド島根,C
101,4,キラーホエール,C
101,5,浜寺マスターズクラブ,C
101,6,宮崎大学医学部漕艇部OB会,C
102,2,多摩川ローイングを楽しむ会,F
102,3,WITH,F
102,4,CPRC,F
103,3,医王会ローイングクラブ,A
104,1,新潟大学漕艇部 緑悠会,G
104,2,碧水会,G
104,3,小野湖ローイングクラブ,G
104,4,ボート団塊号 (だんかいごう),G
104,5,PENTA,G
104,6,浜寺マスターズクラブ,G
105,1,佐鳴漕友会(静岡大学),G
105,2,ボート団塊号 (だんかいごう),G
105,3,ワイルドローバーローイングクラブ,G
105,4,学習院桜艇会,G
105,5,諏訪マスターズ,G
106,1,ボート団塊号 (だんかいごう),G
106,2,新貞山ローイングクラブ,G
106,3,駿台艇友会,G
106,4,WKマスターズ,G
106,5,金沢大1981,G
107,1,ボート団塊号 (だんかいごう),I
107,2,碧水会,I
107,3,白門艇友会,I
107,4,済水会,I
107,5,WKマスターズ,I
108,1,ボート団塊号 (だんかいごう),I
108,2,小野湖ローイングクラブ,I
108,3,鶴見川マスターズローイングクラブ,I
108,4,PENTA,I
108,5,愛知東郷ボートクラブ,I
109,2,ボート団塊号 (だんかいごう),I
109,3,濃青会鶴見川,I
109,4,ボート団塊号 (だんかいごう),I
109,5,大阪工業大学重吹会,I
110,2,チームツバサ,C
110,3,E.R.C.C,C
110,4,うのけボート部,C
111,2,インテック,D
111,3,チームツバサ,D
111,4,御殿浜ローイングクラブ,D
111,5,会津楽水会,D
112,2,れでぃばば,F
112,3,瀬田漕艇クラブ,F
112,4,瀬田漕艇クラブ,G
112,5,CPRC,G
113,1,京都ボートクラブ,H
113,2,大阪工業大学重吹会,H
113,3,ワイルドローバーローイングクラブ,H
113,4,勘八峡・昇龍ローイングクラブ,H
113,5,WKマスターズ,H
114,1,浜松ボートクラブ佐鳴会,H
114,2,濃青会鶴見川,H
114,3,佐鳴漕友会(静岡大学),H
114,4,ボート団塊号 (だんかいごう),H
114,5,大阪工業大学重吹会,H
115,1,楠漕会,H
115,2,楠漕会,H
115,3,名古屋大学艇友会関西,H
115,4,矢切ローイングクラブ,H
115,5,医王会ローイングクラブ,H
116,1,レジェンド島根,E
116,2,金沢大学医王会,E
116,3,大阪工業大学重吹会,E
116,4,新貞山ローイングクラブ,E
116,5,御殿浜ローイングクラブ,E
117,1,会津楽水会,E
117,2,E.R.C.C,E
117,3,茨戸87,E
117,4,WITH,E
117,5,九州照葉ローイングクラブ,E
118,2,でん助・でん子,E
118,3,医王会ローイングクラブ,E
118,4,浜寺マスターズクラブ,E
119,2,WKマスターズ,J
119,3,鶴見川マスターズローイングクラブ,J
119,4,日本ボートマンクラブ,J
119,5,諏訪マスターズ,J
120,2,SUWAKO,J
120,3,名古屋大学艇友会関西,J
120,4,多摩川ローイングを楽しむ会,J
121,2,浜寺マスターズクラブ,K
121,3,濃青会鶴見川,K
121,4,WKマスターズ,L
121,5,濃青会鶴見川,M
122,1,碧漕会,F
122,2,ヤバセJ1,F
122,3,ボート団塊号 (だんかいごう),F
122,4,碧漕会,F
122,5,でん助・でん子,F
122,6,茨水会,F
123,1,レガッタクラブフレンドシップ RCF,F
123,2,茨戸87,F
123,3,ボート団塊号 (だんかいごう),F
123,4,瀬田漕艇クラブ,F
123,5,楠漕会,F
123,6,名古屋大学艇友会57~61,F
124,1,RC神戸,F
124,2,櫂朋会,F
124,3,多摩川ローイングを楽しむ会,F
124,4,瀬田漕艇クラブ,F
124,5,津幡町議会,F
124,6,ワイルドローバーローイングクラブ,F
